id,username,password,firstname,lastname,age,email,triforce,drinks,newsletter
18,Username,01782B6E46BB4746636C35D68DC9C6034FFCC2A0D2B03B364D4D48ECBE08B0C834FF707BA730BD3F,Some,One,13,someone@somewhere.com,NULL,Ljava.lang.String;@65e355e5,1
19,Allerka,01EE9920586F8A5B4DE83F2B9B0F5CF25337A2803BF8E648870EDFF022B77923EB66CEC6597A1949,Some,One,53,allerka@gmail.com,power,"tea, coffee",1
20,oiawveoi,010F98C8E9B4A0FB912D7F3EC6EF8B1A9E6AC595CB8C3754D7A728396DFF6548F098FABA8085611B,aw;gon,grjar,23,noav@aweoi,power,"tea, coffee, energy drinks",1
21,waevn,0190F109445B7DB7DC15D8EECA3F42F02B6205B6B3DEE21978992620543F9028B8B5247555A8F878,averoin,drgoin,12,awlnavl@onav,courage,"tea, coffee, energy drinks",1
22,waevn,01666E6D100354CEDC7B67E9DAC875111A74D32FA3BCD18ABA4C89675BF4CEA43842A36FD0DA0F72,averoin,drgoin,12,awlnavl@onav,courage,"tea, coffee, energy drinks",1
23,waevn,01E6E40FCF9C3ABF716983BE2C25149723DEF8A06E2B29B0D9A1645DBB3137B378BB5B85F4773BAA,averoin,drgoin,12,awlnavl@onav,courage,"tea, coffee, energy drinks",1
24,waevn,0126C7CC1B666A01D19AAF7CC3C48D164DDD92E06A4D954AE49AA467DA82087E3BDB77E5B13B40FB,averoin,drgoin,12,awlnavl@onav,courage,"tea, coffee, energy drinks",1
25,waevn,01AB4310FD90472D09726A9D6BAB18806A82D9E84C87484CE4BA256ABD01B706FAE9E3B6FDF43F,averoin,drgoin,12,awlnavl@onav,courage,"tea, coffee, energy drinks",1
26,waevn,01487D71D2B727405EC357F194110C4A34767EFB3644A08145F638DE77954F3C4C9DE447F850D033,averoin,drgoin,12,awlnavl@onav,courage,"tea, coffee, energy drinks",1
27,waevn,0191B643CA69DD167943CE58552ABD9F247BD03EAE15320735533E061F7EB125A86E11A8D73FD10C,averoin,drgoin,12,awlnavl@onav,courage,"tea, coffee, energy drinks",1
28,waevn,018EFFF97F1F6C6DBFF7B03A75B3393DBBB366FD22A6818D3C179DA2E65A18CE7BDF4BE53EC680CF,averoin,drgoin,12,awlnavl@onav,courage,"tea, coffee, energy drinks",1
29,waevn,01EEE06B95127BBD1F8A16E439C16588FF31072206272D29472F0E5FA6E4E231E8FE8DD2D4DE33FA,averoin,drgoin,12,awlnavl@onav,courage,"tea, coffee, energy drinks",1
